Files,Scanner Results
karl-peterson.license,No_license_found [N]; LicenseRef-scancode-karl-peterson [Sc: 100%]
kastrup.license,No_license_found [N][Sc]; Kastrup [M: 78%]
katharos-0.1.0.license,BSD-3-Clause [N][Sc: 95%]; Hippocratic-2.1 [Sc: 100%]; LicenseRef-scancode-katharos-0.1.0 [Sc: 100%]
katharos-0.2.0.license,BSD-3-Clause [N][Sc: 95%]; GPL-3.0-only [N][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 50%]; Hippocratic-2.1 [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-hippocratic-1.2 [Sc: 100%]
kazlib.license,Free-SW [N]; Zlib [N]; Kazlib [M: 95%]; LicenseRef-scancode-other-permissive [Sc: 100%]
kde-accepted-gpl.license,GPL-3.0-or-later [N]; LGPL-2.1-or-later-KDE-exception [M: 79%]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-kde-accepted-gpl [Sc: 100%]
kde-accepted-lgpl.license,LGPL-3.0-or-later [N]; LGPL-2.1-or-later-KDE-exception [M: 82%]; LGPL-2.0-or-later [Sc: 75%]; LicenseRef-scancode-kde-accepted-lgpl [Sc: 100%]
keith-rule.license,No_license_found [N]; LicenseRef-scancode-keith-rule [Sc: 100%]
kerberos.license,BSD-4-Clause-UC [N]; MIT [N]; Brian-Gladman-3-Clause [M: 69%]; HPND-export-US-modify [M: 78%]; HPND-sell-variant [M: 85%]; LicenseRef-scancode-kerberos [Sc: 100%]
kevan-stannard.license,UnclassifiedLicense [N]; LicenseRef-scancode-kevan-stannard [Sc: 100%]
kevlin-henney.license,MIT-style [N]; HPND [Sc: 100%]; LicenseRef-scancode-kevlin-henney [Sc: 100%]
keypirinha.license,See-URL [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]
kfgqpc-uthmanic-script-hafs.license,No_license_found [N][Sc]
kfqf-accepted-gpl.license,Dual-license [N]; GPL-2.0-or-later [N]; GPL-3.0-or-later [N]; GPL-1.0-or-later [Sc: 50%]; GPL-2.0-only [Sc: 99%]; GPL-3.0-only [Sc: 100%]; LicenseRef-scancode-kfqf-accepted-gpl [Sc: 100%]
khronos.license,MIT [N][M: 83%][Sc: 100%]; LicenseRef-scancode-khronos [Sc: 100%]
kicad-libraries-exception.license,CCPL [N]; KiCad-libraries-exception [M: 100%][Sc: 100%]; CC-BY-SA-4.0 [Sc: 100%]
knuth-ctan.license,See-URL [N]; Knuth-CTAN [M: 100%]; No_license_found [Sc]
ko-man-page.license,No_license_found [N][Sc]
kreative-relay-fonts-free-use-1.2f.license,MIT-style [N]; LicenseRef-scancode-kreative-relay-fonts-free-1.2f [Sc: 100%]
kumar-robotics.license,UnclassifiedLicense [N]; LicenseRef-scancode-kumar-robotics [Sc: 100%]
lal-1.2.license,See-URL [N]; LAL-1.2 [M: 71%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
lal-1.3.license,No_license_found [N]; LAL-1.3 [M: 80%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]; LicenseRef-scancode-free-art-1.3 [Sc: 100%]
lance-norskog-license.license,Freeware [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-free-unknown [Sc: 100%]
larabie.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-larabie [Sc: 100%]
latex2e-translated-notice.license,GNU-Manpages [N]; Linux-man-pages-copyleft-2-para [M: 100%]; Latex2e [Sc: 95%]
latex2e.license,GNU-Manpages [N]; Latex2e [N][Sc: 100%]; Linux-man-pages-copyleft-2-para [M: 100%]
lattice-osl-2017.license,UnclassifiedLicense [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
lavantech.license,See-URL [N]; LicenseRef-scancode-lavantech [Sc: 100%]
lbnl-bsd.license,BSD-3-Clause [N]; BSD-3-Clause-LBNL [M: 89%][Sc: 100%]
lcs-telegraphics.license,UnclassifiedLicense [N]; LicenseRef-scancode-lcs-telegraphics [Sc: 100%]
ldap-sdk-free-use.license,unboundID-ldap-sdk [N]; LicenseRef-scancode-ldap-sdk-free-use [Sc: 100%]
ldpc-1994.license,GPL [N]; NOT-public-domain [N]; LicenseRef-scancode-ldpc-1994 [Sc: 100%]
ldpc-1997.license,GPL [N]; NOT-public-domain [N]; LicenseRef-scancode-ldpc-1997 [Sc: 100%]
ldpc-1999.license,GPL [N]; NOT-public-domain [N]; LicenseRef-scancode-ldpc-1999 [Sc: 100%]
ldpgpl-1.license,LDPL [N]; GPL-1.0-or-later [Sc: 100%]; LicenseRef-scancode-ldpgpl-1 [Sc: 100%]
ldpgpl-1a.license,LDPL-1A [N]; GPL-1.0-or-later [Sc: 100%]; LicenseRef-scancode-ldpgpl-1a [Sc: 100%]
ldpl-2.0.license,LDPL-2.0 [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-ldpl-2.0 [Sc: 100%]
ldpm-1998.license,GPL [N]; LicenseRef-scancode-ldpm-1998 [Sc: 100%]
leap-motion-sdk-2019.license,Apache-2.0 [N]; LicenseRef-scancode-leap-motion-sdk-2019 [Sc: 100%]
leptonica.license,Leptonica [N][M: 94%][Sc: 100%]
lgpl-2.0-fltk.license,LGPL-2.0-only [N][Sc: 80%]; FLTK-exception [M: 98%][Sc: 50%]
lgpl-2.0-plus-gcc.license,GCC-exception-2.0 [N][M: 93%][Sc: 100%]; LGPL-2.0-or-later [N][Sc: 100%]; GCC-exception-3.1 [Sc: 100%]
lgpl-2.0-plus.license,LGPL-2.0-only [N][M: 99%][Sc: 100%]; LGPL-2.0-or-later [Sc: 100%]; LGPL-2.1-only [Sc: 100%]
lgpl-2.0.license,LGPL-2.0-only [N][M: 99%][Sc: 80%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LGPL-2.0-or-later [Sc: 100%]; LGPL-2.1-only [Sc: 100%]
lgpl-2.1-digia-qt.license,LGPL-2.1-only [N][Sc: 100%]; Qt-LGPL-exception-1.1 [N][Sc: 100%]; Nokia-Qt-exception-1.1 [M: 99%]; LGPL-2.0-or-later [Sc: 75%]
lgpl-2.1-nokia-qt-1.0.license,LGPL-2.1-only [N][Sc: 100%]; LGPL-2.0-or-later [Sc: 75%]; LicenseRef-scancode-qt-company-exception-lgpl-2.1 [Sc: 100%]
lgpl-2.1-nokia-qt-1.1.license,LGPL-2.1-only [N][Sc: 100%]; Nokia-Qt-exception-1.1 [N][M: 100%]; LGPL-2.0-or-later [Sc: 75%]; Qt-LGPL-exception-1.1 [Sc: 100%]; Nokia [Sc: 100%]
lgpl-2.1-nokia-qt.license,LGPL-2.1-or-later [N][Sc: 99%]; Nokia-Qt-exception-1.1 [N][M: 100%]; LGPL-2.0-or-later [Sc: 75%]; Qt-LGPL-exception-1.1 [Sc: 99%]; LGPL-2.1-only [Sc: 100%]; Nokia [Sc: 100%]
lgpl-2.1-plus-linking.license,LGPL-2.1-only [N]; GNU-compiler-exception [M: 83%]; LGPL-2.1-or-later [Sc: 100%]; LicenseRef-scancode-linking-exception-2.1-plus [Sc: 100%]
lgpl-2.1-plus-unlimited-linking.license,LGPL-2.1-or-later [N][Sc: 100%]; linking-exception [N]; GCC-exception-2.0-note [M: 100%]; LGPL-2.0-or-later [Sc: 75%]; LGPL-2.1-only [Sc: 100%]; LicenseRef-scancode-unlimited-link-exception-lgpl [Sc: 100%]
lgpl-2.1-plus.license,LGPL-2.1-only [N][Sc: 100%]; LGPL-2.1-or-later [M: 99%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LGPL-2.0-or-later [Sc: 100%]
lgpl-2.1-qt-company-2017.license,LGPL-2.1-only [N][Sc: 100%]; Nokia-Qt-exception-1.1 [M: 96%]; Qt-LGPL-exception-1.1 [Sc: 100%]
lgpl-2.1-qt-company.license,LGPL-2.1-or-later [N][Sc: 100%]; Qt-LGPL-exception-1.1 [N]; LGPL-2.0-or-later [Sc: 75%]; LGPL-2.1-only [Sc: 100%]; LicenseRef-scancode-qt-company-exception-lgpl-2.1 [Sc: 100%]
lgpl-2.1-rxtx.license,LGPL-2.1-or-later [N][Sc: 100%]; LGPL-2.1-only [Sc: 100%]; LicenseRef-scancode-rxtx-exception-lgpl-2.1 [Sc: 100%]
lgpl-2.1-spell-checker.license,LGPL-2.1-only [N][Sc: 100%]; i2p-gpl-java-exception [M: 71%]; LGPL-2.1-or-later [Sc: 50%]; LicenseRef-scancode-spell-exception-lgpl-2.1-plus [Sc: 100%]
lgpl-2.1.license,LGPL-2.1-only [N][Sc: 100%]; CC-BY [N]; LGPL-2.1-or-later [M: 99%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LGPL-2.0-or-later [Sc: 100%]; LGPL-2.0-only [Sc: 100%]
lgpl-3-plus-linking.license,LGPL-3.0-or-later [N][Sc: 100%]; LGPL-3.0-linking-exception [M: 100%][Sc: 100%]; LGPL-3.0-only [Sc: 100%]
lgpl-3.0-cygwin.license,LGPL-3.0-or-later [N][Sc: 50%]; LGPL-3.0-only [Sc: 100%]; LicenseRef-scancode-cygwin-exception-lgpl-3.0-plus [Sc: 100%]
lgpl-3.0-linking-exception.license,LGPL-3.0-only [N][Sc: 100%]; LGPL-3.0-linking-exception [M: 100%][Sc: 100%]; LGPL-3.0-or-later [Sc: 100%]
lgpl-3.0-plus-openssl.license,Dual-license [N]; LGPL-3.0-or-later [N][Sc: 100%]; OpenSSL-exception [N]; ZPL [N]; Zlib [N][Sc: 100%]; cryptsetup-OpenSSL-exception [M: 78%]; LicenseRef-scancode-openssl-exception-lgpl3.0plus [Sc: 100%]; ZPL-2.1 [Sc: 100%]
lgpl-3.0-plus.license,LGPL-3.0-or-later [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LGPL-2.0-or-later [Sc: 100%]; LGPL-3.0-only [Sc: 100%]; LGPL-2.1-or-later [Sc: 100%]
lgpl-3.0-zeromq.license,Classpath-exception-2.0 [N]; LGPL-3.0-only [N][Sc: 100%]; LicenseRef-scancode-zeromq-exception-lgpl-3.0 [Sc: 100%]
lgpl-3.0.license,LGPL-3.0-only [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LGPL-2.0-or-later [Sc: 100%]; LGPL-2.1-or-later [Sc: 100%]
lgpllr.license,LGPL [N]; LGPLLR [M: 100%][Sc: 50%]; LGPL-2.0-or-later [Sc: 75%]
lha.license,See-URL [N]; LicenseRef-scancode-lha [Sc: 100%]
libcap.license,BSD-style [N]; Dual-license [N]; GPL-2.0-only [N]; GPL-1.0-or-later [Sc: 50%]; BSD-3-Clause [Sc: 90%]; GPL-2.0-or-later [Sc: 95%]
liberation-font-exception.license,Font-exception-2.0 [N][M: 100%]; GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-liberation-font-exception [Sc: 100%]
libgd-2018.license,IJG-possibility [N]; GD [M: 96%][Sc: 100%]
libgeotiff.license,MIT [N][M: 95%]; Public-domain [N]; LicenseRef-scancode-libgeotiff [Sc: 100%]
libmib.license,MIT-style [N]; LicenseRef-scancode-libmib [Sc: 100%]
libmng-2007.license,libmng-2007 [N]; LicenseRef-scancode-libmng-2007 [Sc: 100%]; Libpng [Sc: 100%]
libpbm.license,MIT-CMU-style [N]; HPND-Pbmplus [M: 74%]; LicenseRef-scancode-libpbm [Sc: 90%]
libpng-2.0.license,libpng-2.0 [N][M: 99%][Sc: 97%]
libpng-v2.license,libpng-2.0 [N][M: 100%][Sc: 100%]; Libpng [Sc: 100%]
libpng.license,Libpng [N][M: 96%][Sc: 100%]
libpri-openh323-exception.license,GPL [N]; MPL [N]; libpri-OpenH323-exception [M: 100%]; GPL-1.0-or-later [Sc: 85%]; LicenseRef-scancode-generic-exception [Sc: 99%]
librato-exception.license,UnclassifiedLicense [N]; Apache-2.0 [M: 76%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-librato-exception [Sc: 100%]
libselinux-1.0.license,Public-domain [N]; libselinux-1.0 [M: 100%][Sc: 100%]
libselinux-pd.license,Public-domain [N]; libselinux-1.0 [M: 98%]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-libselinux-pd [Sc: 100%]
libsrv-1.0.2.license,BSD-style [N]; LicenseRef-scancode-libsrv-1.0.2 [Sc: 100%]
libtiff.license,libtiff [N][M: 100%][Sc: 100%]
libtool-exception-2.0.license,GPL-2.0-or-later [N][Sc: 100%]; Libtool-exception [N][M: 100%][Sc: 50%]; GPL-2.0-only [Sc: 100%]
libtool-exception-lgpl.license,LGPL [N]; Libtool-exception [M: 97%][Sc: 50%]; LGPL-2.0-or-later [Sc: 75%]
libtool-exception.license,GPL [N]; Libtool-exception [M: 100%][Sc: 50%]
libutil-david-nugent.license,BSD-style [N]; libutil-David-Nugent [M: 93%]; LicenseRef-scancode-other-permissive [Sc: 99%]
libwebsockets-exception.license,BSD-3-Clause [N]; LGPL-2.1-only [N][Sc: 100%]; Zlib [N]; LicenseRef-scancode-libwebsockets-exception [Sc: 100%]
libzip.license,BSD-3-Clause [N][Sc: 100%]; BSD-3-Clause-HP [M: 89%]
license-file-reference.license,No_license_found [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
liferay-dxp-eula-2.0.0-2023-06.license,See-URL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 50%]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-warranty-disclaimer [Sc: 57%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
liferay-ee.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 60%]
liferay-marketplace-tos.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
lil-1.license,MIT-possibility [N]; LicenseRef-scancode-lil-1 [Sc: 100%]
liliq-p-1.1.license,See-URL [N]; LiLiQ-P-1.1 [M: 99%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
liliq-r-1.1.license,CDDL-1.0 [N]; CECILL-C [N]; EPL-1.0 [N]; GPL-2.0-only [N]; LGPL-2.1-only [N]; MPL-2.0 [N]; LiLiQ-R-1.1 [M: 99%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
liliq-rplus-1.1.license,EPL-1.0 [N]; GPL-3.0-only [N]; LiLiQ-Rplus-1.1 [M: 99%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
lilo.license,Freeware [N]; LicenseRef-scancode-lilo [Sc: 100%]
linking-exception-2.0-plus.license,GPL-2.0-or-later [N][Sc: 50%]; linking-exception [N]; SWI-exception [M: 80%]; gnu-javamail-exception [M: 87%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-linking-exception-2.0-plus [Sc: 100%]
linking-exception-2.1-plus.license,LGPL-2.1-or-later [N][Sc: 50%]; GNU-compiler-exception [M: 83%]; LGPL-2.1-only [Sc: 100%]; LicenseRef-scancode-linking-exception-2.1-plus [Sc: 100%]
linking-exception-agpl-3.0.license,AGPL [N]; AGPL-3.0-or-later [Sc: 90%]; AGPL-3.0-only [Sc: 100%]; GPL-3.0-only [Sc: 100%]; LicenseRef-scancode-linking-exception-agpl-3.0 [Sc: 100%]
linking-exception-lgpl-2.0-plus.license,Classpath-exception-2.0 [N]; LGPL-2.0-or-later [N][Sc: 100%]; Fawkes-Runtime-exception [Sc: 56%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LGPL-2.0-only [Sc: 100%]; LicenseRef-scancode-linking-exception-lgpl-2.0plus [Sc: 100%]
linking-exception-lgpl-3.0.license,LGPL-3.0-or-later [N][Sc: 100%]; LGPL-3.0-linking-exception [M: 100%][Sc: 100%]; LGPL-3.0-only [Sc: 100%]
linotype-eula.license,See-file [N]; LicenseRef-scancode-linotype-eula [Sc: 100%]
linum.license,UnclassifiedLicense [N]; WxWindows-exception-3.1 [Sc: 65%]; LGPL-2.0-or-later [Sc: 65%]; LicenseRef-scancode-philippe-de-muyter [Sc: 100%]
linux-device-drivers.license,UnclassifiedLicense [N]; LicenseRef-scancode-linux-device-drivers [Sc: 100%]
linux-man-pages-1-para.license,Freeware [N]; Linux-man-pages-1-para [M: 100%]; No_license_found [Sc]
linux-man-pages-2-para.license,GNU-Manpages [N]; Linux-man-pages-copyleft-2-para [M: 100%]; Latex2e [Sc: 74%]; Linux-man-pages-copyleft [Sc: 100%]
linux-man-pages-copyleft-var.license,GNU-Manpages [N]; Linux-man-pages-copyleft-var [M: 100%]; Linux-man-pages-copyleft [Sc: 100%]
linux-openib.license,Linux-OpenIB [N][M: 100%][Sc: 100%]; MIT [N][Sc: 100%]; BSD-2-Clause [Sc: 100%]
linux-syscall-exception-gpl.license,GPL-2.0-only [N][Sc: 100%]; Linux-syscall-note [N][M: 100%][Sc: 50%]; GPL-1.0-or-later [Sc: 50%]
linuxbios.license,PHP-possibility [N]; LicenseRef-scancode-linuxbios [Sc: 100%]
linuxhowtos.license,No_license_found [N]; LicenseRef-scancode-linuxhowtos [Sc: 100%]
llama-2-license-2023.license,UnclassifiedLicense [N]; LicenseRef-scancode-warranty-disclaimer [Sc: 81%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
llama-3.1-license-2024.license,UnclassifiedLicense [N]; LicenseRef-scancode-warranty-disclaimer [Sc: 51%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
llama-license-2023.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]; LicenseRef-scancode-unknown [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
llgpl.license,LGPL-2.1-only [N][Sc: 100%]; LLGPL [M: 96%]; LicenseRef-scancode-llgpl [Sc: 90%]; LGPL-2.1-or-later [Sc: 100%]
llnl.license,ATT-style [N]; DSDP [Sc: 100%]; LicenseRef-scancode-llnl [Sc: 100%]
llvm-exception.license,Apache-2.0 [N][Sc: 100%]; GPL-2.0-only [N]; LLVM-exception [N][M: 99%][Sc: 100%]
lmbench-exception-2.0.license,GPL-2.0-only [N][Sc: 100%]; GPL-1.0-or-later [Sc: 100%]; LicenseRef-scancode-lmbench-exception-2.0 [Sc: 100%]
logica-1.0.license,Logica-OSL-1.0 [N][M: 100%]; LicenseRef-scancode-free-unknown [Sc: 50%]; OSL-1.0 [Sc: 50%]; LicenseRef-scancode-logica-1.0 [Sc: 100%]
lontium-linux-firmware.license,LGPL [N]; LicenseRef-scancode-lontium-linux-firmware [Sc: 100%]
loop.license,HPND [N]; LOOP [M: 100%]; LicenseRef-scancode-carnegie-mellon [Sc: 76%]; NTP [Sc: 90%]
losla.license,MPL-style [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-losla [Sc: 100%]
lppl-1.0.license,LPPL-1.0 [N][M: 99%][Sc: 50%]
lppl-1.1.license,LPPL-1.1 [N][M: 100%][Sc: 50%]
lppl-1.2.license,LPPL-1.2 [N][M: 100%][Sc: 50%]
lppl-1.3a.license,LPPL-1.3a [N][M: 100%][Sc: 50%]
lppl-1.3c.license,LPPL-1.3c [N][M: 100%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
lppl.license,LPPL-1.3+ [N]; LPPL-1.3c [M: 94%][Sc: 98%]
lsi-proprietary-eula.license,See-file [N]; LicenseRef-scancode-oracle-bcl-javase-javafx-2012 [Sc: 100%]; LicenseRef-scancode-lsi-proprietary-eula [Sc: 100%]
lsof.license,Purdue [N]; lsof [M: 100%]; LicenseRef-scancode-purdue-bsd [Sc: 100%]
lucent-pl-1.0.license,LPL-1.0 [N][M: 98%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
lucent-pl-1.02.license,LPL-1.02 [N][M: 98%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
lucre.license,BSD-3-Clause-Attribution [N]; BSD-Advertising-Acknowledgement [M: 76%]; OpenSSL [Sc: 100%]; LicenseRef-scancode-lucre [Sc: 100%]
lumisoft-mail-server.license,MIT-style [N]; LicenseRef-scancode-lumisoft-mail-server [Sc: 100%]
luxi.license,MIT-style [N]; LicenseRef-scancode-luxi [Sc: 100%]
lyubinskiy-dropdown.license,PHP-possibility [N]; LicenseRef-scancode-lyubinskiy-dropdown [Sc: 100%]
lyubinskiy-popup-window.license,PHP-possibility [N]; LicenseRef-scancode-lyubinskiy-popup-window [Sc: 100%]
lzma-cpl-exception.license,CPL-1.0 [N][Sc: 50%]; LZMA-exception [N][M: 98%][Sc: 100%]
lzma-sdk-2006-exception.license,LGPL [N]; CPL-1.0 [Sc: 63%]; LGPL-2.1-only [Sc: 63%]; LicenseRef-scancode-lzma-sdk-2006-exception [Sc: 63%]; LGPL-2.0-or-later [Sc: 100%]
lzma-sdk-2006.license,CPL [N]; LGPL [N]; LicenseRef-scancode-lzma-sdk-2006 [Sc: 100%]
lzma-sdk-2008.license,CDDL-1.0 [N]; CPL [N]; LGPL [N]; LicenseRef-scancode-lzma-sdk-2008 [Sc: 100%]
lzma-sdk-9.11-to-9.20.license,Public-domain [N]; LZMA-SDK-9.11-to-9.20 [M: 100%][Sc: 100%]; LicenseRef-scancode-public-domain [Sc: 70%]
lzma-sdk-9.22.license,LGPL [N]; LZMA-SDK-9.22 [M: 100%][Sc: 100%]; LicenseRef-scancode-public-domain [Sc: 70%]
lzma-sdk-original.license,CPL [N]; LGPL [N]; LicenseRef-scancode-lzma-sdk-original [Sc: 100%]
lzma-sdk-pd.license,Public-domain [N]; LicenseRef-scancode-public-domain [Sc: 70%]; LicenseRef-scancode-lzma-sdk-pd [Sc: 100%]
m-plus.license,UnclassifiedLicense [N]; mplus [M: 82%][Sc: 100%]
madwifi-dual.license,BSD-style [N]; Dual-license [N]; GPL-2.0-only [N][Sc: 100%]; BSD-3-Clause [Sc: 90%]; GPL-1.0-or-later [Sc: 90%]; LicenseRef-scancode-intel-bsd [Sc: 100%]
magaz.license,UnclassifiedLicense [N]; magaz [M: 74%]; No_license_found [Sc]
magpie-exception-1.0.license,AGPL-3.0-only [N]; LicenseRef-scancode-magpie-exception-1.0 [Sc: 100%]
mailprio.license,UnclassifiedLicense [N]; LicenseRef-scancode-other-permissive [Sc: 100%]
make-human-exception.license,CC0-1.0 [N]; GPL [N]; Public-domain [N]; LicenseRef-scancode-make-human-exception [Sc: 100%]
makeindex.license,BSD-style [N]; GPL [N]; MakeIndex [M: 86%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
mame.license,Non-commercial [N]; LicenseRef-scancode-mame [Sc: 100%]
manfred-klein-fonts-tos.license,No_license_found [N]; LicenseRef-scancode-manfred-klein-fonts-tos [Sc: 100%]
mapbox-tos-2021.license,UnclassifiedLicense [N]; LicenseRef-scancode-mapbox-tos-2021 [Sc: 100%]
markus-kuhn-license.license,X11-style [N]; HPND-Markus-Kuhn [M: 100%]; HPND [Sc: 100%]; LicenseRef-scancode-markus-kuhn-license [Sc: 100%]
markus-mummert-permissive.license,No_license_found [N]; BSD-1-Clause [M: 70%]; BSD-Source-Code [Sc: 79%]
martin-birgmeier.license,Freeware [N]; Martin-Birgmeier [M: 87%]; LicenseRef-scancode-martin-birgmeier [Sc: 100%]
marvell-firmware-2019.license,No_license_found [N]; LicenseRef-scancode-marvell-firmware-2019 [Sc: 100%]
marvell-firmware.license,UnclassifiedLicense [N]; LicenseRef-scancode-marvell-firmware [Sc: 100%]
matt-gallagher-attribution.license,UnclassifiedLicense [N]; LicenseRef-scancode-matt-gallagher-attribution [Sc: 100%]
matthew-kwan.license,No_license_found [N]; LicenseRef-scancode-matthew-kwan [Sc: 100%]
matthew-welch-font-license.license,Non-commercial [N]; LicenseRef-scancode-matthew-welch-font-license [Sc: 100%]
mattkruse.license,Non-commercial [N]; LicenseRef-scancode-mattkruse [Sc: 100%]
maxmind-geolite2-eula-2019.license,CCPL [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-maxmind-geolite2-eula-2019 [Sc: 100%]
maxmind-odl.license,BSD-possibility [N]; LicenseRef-scancode-maxmind-odl [Sc: 100%]
mcafee-tou.license,Not-for-sale [N]; UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-mcafee-tou [Sc: 100%]
mcphee-slideshow.license,No_license_found [N][Sc]; McPhee-slideshow [M: 91%]
mcrae-pl-4-r53.license,See-URL [N]; GPL-1.0-or-later [Sc: 100%]; LicenseRef-scancode-mcrae-pl-4-r53 [Sc: 100%]
mediainfo-lib.license,BSD-style [N]; LGPL-3.0-or-later [N]; BSD-2-Clause [M: 69%]; LicenseRef-scancode-mediainfo-lib [Sc: 100%]; LicenseRef-scancode-other-permissive [Sc: 100%]; LGPL-2.0-or-later [Sc: 100%]; LGPL-3.0-only [Sc: 100%]
mediatek-firmware.license,LGPL [N]; LicenseRef-scancode-amlogic-linux-firmware [Sc: 96%]
mediatek-no-warranty.license,UnclassifiedLicense [N]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]
mediatek-proprietary-2008.license,No_license_found [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
melange.license,UnclassifiedLicense [N]; LicenseRef-scancode-melange [Sc: 100%]
mentalis.license,BSD-style [N]; BSD-Source-Code [M: 88%][Sc: 50%]
merit-network-derivative.license,W3C-style [N]; LicenseRef-scancode-merit-network-derivative [Sc: 100%]
metageek-inssider-eula.license,Non-commercial [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-metageek-inssider-eula [Sc: 100%]
metamail.license,Bellcore-style [N]; metamail [M: 91%]; HPND [Sc: 100%]
metrolink-1.0.license,OpenGroup [N]; MetroLink-1.0 [M: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-metrolink-1.0 [Sc: 100%]
mgopen-font-license.license,Bitstream [N]; LicenseRef-scancode-mgopen-font-license [Sc: 100%]
michael-barr.license,Public-domain [N]; Barr [Sc: 100%]; LicenseRef-scancode-michael-barr [Sc: 100%]
michigan-disclaimer.license,U-Mich-style [N]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-michigan-disclaimer [Sc: 100%]
microchip-linux-firmware.license,UnclassifiedLicense [N]; LicenseRef-scancode-microchip-linux-firmware [Sc: 100%]
microchip-products-2018.license,No_license_found [N]; LicenseRef-scancode-microchip-products-2018 [Sc: 100%]
microsoft-enterprise-library-eula.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-enterprise-library-eula [Sc: 100%]
microsoft-windows-rally-devkit.license,See-file [N]; LicenseRef-scancode-microsoft-windows-rally-devkit [Sc: 100%]
mif-exception.license,GPL-2.0-only [N][Sc: 100%]; mif-exception [N][M: 100%][Sc: 50%]
mike95.license,No_license_found [N]; LicenseRef-scancode-mike95 [Sc: 100%]
minecraft-mod.license,UnclassifiedLicense [N]; LicenseRef-scancode-minecraft-mod [Sc: 100%]
mini-xml-exception-lgpl-2.0.license,LGPL-2.0-or-later [N][Sc: 100%]; LGPL-2.0-only [Sc: 80%]; LicenseRef-scancode-mini-xml-exception-lgpl-2.0 [Sc: 100%]
